code	term
0110.10	alférez
0110.10	alférez de fragata guardamarina
0110.10	alférez de navío
0110.10	oficial de la infantería de marina
0110.10	oficial del Ejército del Aire
0110.10	oficial del Ejército de Tierra
0110.10	teniente de las Fuerzas Armadas
0110.10	teniente del Ejército
0110.10	teniente de navío
0110.11	oficial de infantería de marina
0110.11	oficial de la Armada
0110.11	oficial de las Fuerzas Armadas
0110.12	comandante
0110.12	jefa de escuadrón
0110.12	jefe de escuadrón
0110.1	comandante de aeronave
0110.1	instructor
0110.1	instructora
0110.1	instructora de simulador
0110.1	instructor de simulador
0110.1	jefa de escuadrón
0110.1	jefe de escuadrón
0110.1	oficial del Ejército del Aire
0110.1	oficial de operaciones
0110.1	piloto militar del Ejército del Aire
0110.2	oficial de la Armada
0110.2	oficial de las Fuerzas Armadas
0110.2	oficial del Ejército del Aire
0110.2	oficial del Ejército de Tierra
0110.3	capitana de batallón
0110.3	capitana de corbeta
0110.3	capitana de fragata
0110.3	capitana de infantería de marina
0110.3	capitana del Ejército
0110.3	capitán de batallón
0110.3	capitán de corbeta
0110.3	capitán de fragata
0110.3	capitán de infantería de marina
0110.3	capitán del Ejército
0110.3	oficial de las Fuerzas Armadas
0110.3	oficial del Ejército
0110.4	general de brigada
0110.4	general de división
0110.4	general de las Fuerzas Armadas
0110.4	general del Ejército
0110.4	oficial del Ejército del Aire
0110.4	oficial del Ejército de Tierra
0110.4	teniente general
0110.5	capitana de corbeta
0110.5	capitán de corbeta
0110.5	comandante de aeronave
0110.5	comandante de las Fuerzas Armadas
0110.5	comandante del Ejército
0110.5	mayor
0110.5	oficial del Ejército de Tierra
0110.6	oficial de artillería
0110.6	oficial de infantería
0110.6	oficial del Ejército de Tierra
0110.7	brigadier
0110.7	contraalmirante
0110.7	general de brigada
0110.7	oficial del Ejército del Aire
0110.7	oficial del Ejército de Tierra
0110.8	coronel del Ejército
0110.8	oficial del Ejército del Aire
0110.8	oficial del Ejército de Tierra
0110.8	teniente coronel
0110.9	almirante
0110.9	almirante general
0110.9	contraalmirante
0110.9	jefa de flota
0110.9	jefe de flota
0110.9	oficial de la Armada
0110.9	vicealmirante
0210.1	cabo del Ejército
0210.1	cabo mayor
0210.1	cabo primero
0210.1	marinería
0210.1	suboficial
0210.2	brigada
0210.2	sargento del Ejército
0210.2	sargento primero
0210.2	suboficial de la Armada
0210.2	suboficial del Ejército del Aire
0210.2	suboficial del Ejército de Tierra
0210.2	subteniente
0210.3	oficial de inteligencia
0210.3	oficial de la Fuerza de Guerra Naval Especial
0210.3	oficial de las Fuerzas Armadas
0210.3	oficial de las fuerzas especiales
0210.3	oficial del Ejército
0210.3	oficial del Escuadrón de Zapadores Paracaidistas
0210.3	oficial de los Grupos de Operaciones Especiales
0210.4	especialista en comunicaciones
0210.4	especialista en guerra naval
0210.4	técnica en operativa de guerra
0210.4	técnica superior de la Armada
0210.4	técnica superior en mantenimiento electrónico
0210.4	técnica superior en mantenimiento y control de la maquinaria de buques y embarcaciones
0210.4	técnica superior en sistemas de telecomunicaciones e informáticos
0210.4	técnico en operativa de guerra
0210.4	técnico superior de la Armada
0210.4	técnico superior en mantenimiento electrónico
0210.4	técnico superior en mantenimiento y control de la maquinaria de buques y embarcaciones
0210.4	técnico superior en sistemas de telecomunicaciones e informáticos
0310.1	militar con especialidad de vuelo
0310.1	piloto
0310.1	piloto de las Fuerzas Armadas
0310.1	piloto del Ejército del Aire
0310.1	piloto militar del Ejército del Aire
0310.1	piloto naval
0310.2	artificiera de las Fuerzas Armadas
0310.2	artificiero de las Fuerzas Armadas
0310.2	desactivadora de bombas del Ejército
0310.2	desactivador de bombas del Ejército
0310.2	especialista militar en desminado
0310.2	jefa de equipo EOD
0310.2	jefe de equipo EOD
0310.2	operadora EOD
0310.2	operador EOD
0310.3	marinera
0310.3	marinero
0310.3	soldado
0310.3	soldado de infantería
0310.4	especialista militar en interceptación de comunicaciones
0310.4	oficial de inteligencia
0310.4	oficial de inteligencia del Ejército del Aire (especialista en interceptación de comunicaciones)
0310.5	ingeniera militar
0310.5	ingeniera politécnica de la Armada
0310.5	ingeniera politécnica del Ejército de Tierra
0310.5	ingeniero militar
0310.5	ingeniero politécnico de la Armada
0310.5	ingeniero politécnico del Ejército de Tierra
0310.5	zapador
0310.5	zapadora
1111.1	concejal
1111.1	concejala
1111.2	consejera
1111.2	consejero
1111.2	ministra
1111.2	ministro
1111.3	alcalde
1111.3	alcaldesa
1111.4	diputada
1111.4	diputado
1111.4	miembro del Congreso de los Diputados
1111.4	miembro del Parlamento
1111.4	miembro del Senado
1111.4	senador
1111.4	senadora
1111.5	delegada del gobierno
1111.5	delegada del gobierno en comunidades autónomas
1111.5	delegado del gobierno
1111.5	delegado del gobierno en comunidades autónomas
1111.5	subdelegada del gobierno
1111.5	subdelegado del gobierno
1111.6	secretaria de Estado
1111.6	secretario de Estado
1111.7	senador
1111.7	senadora
1112.1	gobernadora del Banco Central
1112.1	gobernador del Banco Central
1112.2	cónsul
1112.3.1	embajador
1112.3.1	embajadora
1112.3.2	agregada de embajada
1112.3.2	agregado de embajada
1112.3.2	consejera de embajada
1112.3.2	consejero de embajada
1112.3	diplomática
1112.3	diplomático
1112.4	jefa de bombero
1112.4	jefa de bomberos
1112.4	jefa de servicio contra incendios
1112.4	jefe de bomberos
1112.4	jefe de servicio contra incendios
1112.5	comisaria jefa de policía
1112.5	comisario jefe de policía
1112.6	funcionaria responsable de área
1112.6	funcionario responsable de área
1112.6	personal directivo de la administración pública
1112.7	director general
1112.7	secretaria general
1112.7	secretario general
1114.1	responsable de grupos que representan intereses específicos
1114.1	responsable de organizaciones que representan intereses específicos
1120.1	directora de acuario
1120.1	directora de instalaciones para animales
1120.1	directora de parque zoológico
1120.1	directora de refugio para animales
1120.1	director de acuario
1120.1	director de instalaciones para animales
1120.1	director de parque zoológico
1120.1	director de refugio para animales
1120.2.1	directora de sucursal
1120.2.1	director de sucursal
1120.2	directora de empresa
1120.2	director de empresa
1120.2	gerente de empresa
1120.3.1	directora ejecutiva de aeropuerto
1120.3.1	directora general de aeropuerto
1120.3.1	director ejecutivo de aeropuerto
1120.3.1	director general de aeropuerto
1120.3	consejera delegada
1120.3	consejero delegado
1120.3	directora ejecutiva
1120.3	director ejecutivo
1120.3	presidenta y directora ejecutiva
1120.3	presidente y director ejecutivo
1120.4	directora de operaciones
1120.4	director de operaciones
1211.1.1	contable jefe
1211.1.1	directora de contabilidad
1211.1.1	director de contabilidad
1211.1.1	jefa de contabilidad
1211.1.1	jefe de contabilidad
1211.1.2	responsable de tesorería de entidad financiera
1211.1.2	tesorera de banco
1211.1.2	tesorera de entidad financiera
1211.1.2	tesorero de banco
1211.1.2	tesorero de entidad financiera
1211.1.3	directora de presupuesto
1211.1.3	director de presupuesto
1211.1.3	gestora de presupuesto
1211.1.3	gestor de presupuesto
1211.1.4	jefa de tesorería
1211.1.4	jefe de tesorería
1211.1.4	tesorera
1211.1.4	tesorero
1211.1	directora financiera
1211.1	director financiero
1212.1.1	responsable de igualdad e inclusión
1212.1	directora de recursos humanos
1212.1	director de recursos humanos
